level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,133,22,26,0.0,.
5,1,1,1,3,2,129,160,3,7,22.014816,'
5,1,1,1,3,3,230,145,4,3,12.477722,\
5,1,1,1,3,4,252,162,203,26,66.977631,[XINN]ThanhSport
5,1,1,1,4,1,45,173,50,22,20.836716,are
5,1,1,1,4,2,354,168,81,20,25.754143,janhiopa
5,1,1,1,4,3,524,181,56,16,0.0,B*7.88
5,1,1,1,4,4,625,193,4,4,54.187183,3
5,1,1,1,4,5,648,174,28,13,45.11264,gy
5,1,1,1,5,1,47,178,46,37,35.955109,7
5,1,1,1,5,2,124,212,28,16,55.362377,L
5,1,1,1,5,3,203,140,34,106,44.847351,|
5,1,1,1,5,4,252,201,90,19,95.858162,Warzone
5,1,1,1,5,5,348,201,64,18,95.948654,#1311
5,1,1,1,5,6,504,177,118,52,20.897812,EERIE
5,1,1,1,5,7,642,177,40,52,46.577934,Yay
5,1,1,1,6,1,130,272,102,42,12.680878,FEET)
5,1,1,1,6,2,252,292,174,25,0.0,renxiParsek23
5,1,1,1,7,1,46,303,48,43,26.818466,a
5,1,1,1,7,2,143,309,76,49,4.479973,Bes
5,1,1,1,7,3,252,322,87,40,96.926903,Warzone
5,1,1,1,7,4,351,322,62,40,96.786919,#1315
5,1,1,1,7,5,497,300,136,65,0.0,AOTOREDS
5,1,1,1,7,6,654,300,28,65,18.946037,ay
5,1,1,1,8,1,0,395,22,23,36.775826,=
5,1,1,1,8,2,132,400,65,81,80.875252,fz
5,1,1,1,8,3,252,421,133,26,27.475677,[A10U]Foxlum
5,1,1,1,8,4,426,422,31,20,96.413734,42
5,1,1,1,9,1,55,432,30,6,0.0,_
5,1,1,1,9,2,164,429,3,4,18.866989,;
5,1,1,1,9,3,347,417,73,35,73.630142,‘oxium
5,1,1,1,9,4,502,439,129,23,24.651337,AACE
5,1,1,1,9,5,646,418,12,48,0.0,¢
5,1,1,1,10,1,46,432,48,44,60.354759,&
5,1,1,1,10,2,131,454,20,39,0.0,ty
5,1,1,1,10,3,186,450,19,27,0.0,","
5,1,1,1,10,4,252,456,88,37,96.747971,Warzone
5,1,1,1,10,5,351,456,62,37,96.771095,#1312
5,1,1,1,10,6,565,453,2,2,0.0,’
5,1,1,1,10,7,630,447,4,14,4.895523,”
5,1,1,1,10,8,646,441,36,48,36.164551,Naf
5,1,1,1,11,1,252,547,164,35,30.517441,[RiSeJgtsaurus
5,1,1,1,11,2,498,569,90,12,27.597984,caren
5,1,1,1,11,3,604,569,20,10,37.502132,an;
5,1,1,1,12,1,59,568,23,26,40.570942,“
5,1,1,1,12,2,126,523,36,108,0.0,*
5,1,1,1,12,3,189,527,44,98,64.159088,7
5,1,1,1,12,4,252,590,90,18,95.917786,Warzone
5,1,1,1,12,5,348,590,66,17,96.41581,#1316
5,1,1,1,12,6,498,569,77,25,19.291573,ECU
5,1,1,1,12,7,596,565,38,51,44.560425,AED
5,1,1,1,12,8,643,559,39,57,20.091454,oy
5,1,1,1,13,1,0,652,22,25,31.988312,=
5,1,1,1,13,2,230,663,3,3,8.674637,S
5,1,1,1,13,3,252,680,123,25,0.0,"iKORa]2,"
5,1,1,1,13,4,364,659,66,52,87.802361,Ankrid
5,1,1,1,13,5,442,659,23,52,60.865234,“>
5,1,1,1,14,1,310,676,17,35,68.29953,al
5,1,1,1,14,2,377,685,41,15,67.807541,nkri
5,1,1,1,14,3,519,698,27,10,0.0,ScyR
5,1,1,1,14,4,633,707,2,2,10.139626,ATE:
5,1,1,1,15,1,61,697,19,27,90.506264,5
5,1,1,1,15,2,124,654,119,113,10.392456,wt
5,1,1,1,15,3,252,719,90,18,95.434235,Warzone
5,1,1,1,15,4,348,719,65,18,95.322937,#1312
5,1,1,1,15,5,503,698,132,26,19.184921,AEE
5,1,1,1,16,1,0,780,210,51,27.156441,ED)
5,1,1,1,16,2,336,809,146,28,8.965042,musortracacnne
5,1,1,1,17,1,133,812,31,15,37.123035,rac.
5,1,1,1,17,2,203,834,9,3,30.342644,ie
5,1,1,1,17,3,252,814,82,25,0.854172,[TLW66]
5,1,1,1,17,4,473,810,9,8,66.706627,+
5,1,1,1,17,5,509,828,80,17,11.365723,IRE
5,1,1,1,17,6,648,822,28,12,35.589134,ey
5,1,1,1,18,1,59,827,22,26,61.364513,©
5,1,1,1,18,2,137,832,92,43,38.555164,EM
5,1,1,1,18,3,252,823,88,56,0.0,warcone
5,1,1,1,18,4,353,848,63,18,93.981873,#1307
5,1,1,1,18,5,510,828,170,31,8.737289,TREES
5,1,1,1,18,6,646,824,38,56,33.540283,Dat
5,1,1,1,19,1,137,874,39,5,32.260216,ved
5,1,1,1,19,2,189,873,37,13,53.587387,oon
5,1,1,1,19,3,680,894,4,3,18.671486,;
