level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,55,133,30,5,0.0,a
5,1,1,1,3,2,204,138,21,16,0.0,|
5,1,1,1,3,3,252,119,271,50,0.0,LULURSPEERYVONCALEE
5,1,1,1,3,4,539,119,34,50,0.0,AF
5,1,1,1,3,5,598,119,38,50,18.58902,30
5,1,1,1,3,6,647,133,30,13,33.458344,“~
5,1,1,1,4,1,46,128,52,61,17.276917,37
5,1,1,1,4,2,125,124,111,83,0.0,Loe]
5,1,1,1,4,3,252,142,90,47,96.673927,Warzone
5,1,1,1,4,4,353,142,64,47,96.682556,#1302
5,1,1,1,4,5,503,141,129,22,0.0,PEXSEEIEISD
5,1,1,1,4,6,643,145,37,26,30.059296,Yay
5,1,1,1,5,1,0,221,22,27,0.0,_
5,1,1,1,5,2,131,231,19,7,0.0,;
5,1,1,1,5,3,166,226,29,27,4.79686,2
5,1,1,1,5,4,214,231,18,7,47.123356,1
5,1,1,1,5,5,248,247,206,34,32.879883,[TOAK]FakeYeyee
5,1,1,1,6,1,59,268,23,26,64.216835,4
5,1,1,1,6,2,131,244,4,85,95.626762,|
5,1,1,1,6,3,168,283,43,26,28.908768,me
5,1,1,1,6,4,226,247,7,83,80.475983,|
5,1,1,1,6,5,252,278,87,40,96.112221,Warzone
5,1,1,1,6,6,351,289,65,19,96.734512,#1301
5,1,1,1,6,7,507,269,127,25,32.809486,EEE
5,1,1,1,7,1,129,377,4,8,49.956619,ww
5,1,1,1,7,2,214,379,7,15,34.18454,77%
5,1,1,1,7,3,252,380,137,25,33.650597,[KORalLet
5,1,1,1,7,4,371,372,23,37,94.324036,it
5,1,1,1,7,5,505,398,59,17,0.0,SEER
5,1,1,1,7,6,586,401,49,10,0.0,OTE
5,1,1,1,7,7,647,392,29,13,29.98925,ey
5,1,1,1,8,1,61,397,19,27,92.638672,5
5,1,1,1,8,2,124,383,112,80,39.892975,eA
5,1,1,1,8,3,252,419,90,18,92.968315,Warzone
5,1,1,1,8,4,348,419,65,18,96.558655,#1312
5,1,1,1,8,5,502,398,133,26,2.813759,SEES
5,1,1,1,8,6,643,404,37,26,66.317474,ag
5,1,1,1,9,1,325,508,82,29,0.380722,B50]
5,1,1,1,10,1,145,516,74,26,49.721939,meee
5,1,1,1,10,2,252,514,69,25,50.177719,[FEnx]
5,1,1,1,10,3,357,526,19,11,40.356964,oS
5,1,1,1,10,4,412,515,39,19,34.471733,°|119
5,1,1,1,10,5,505,527,129,17,25.729004,apprise
5,1,1,1,10,6,648,522,28,12,14.610245,ey
5,1,1,1,11,1,59,526,22,27,95.423302,6
5,1,1,1,11,2,252,530,86,49,90.230362,Warzone
5,1,1,1,11,3,350,548,63,18,96.125008,#1315
5,1,1,1,11,4,506,528,174,31,0.0,CREEL
5,1,1,1,11,5,644,524,37,55,32.580856,Yay
5,1,1,1,12,1,0,604,26,38,29.927124,=]
5,1,1,1,12,2,142,620,79,51,37.086243,21
5,1,1,1,13,1,132,642,14,28,21.111145,\
5,1,1,1,13,2,217,642,14,27,0.0,Y
5,1,1,1,13,3,252,639,298,30,0.0,[XINN]SASEREMoonlint..
5,1,1,1,13,4,550,634,19,44,0.0,3
5,1,1,1,13,5,608,657,27,17,36.87207,a3
5,1,1,1,14,1,60,656,20,26,96.246552,7
5,1,1,1,14,2,133,643,98,65,72.213028,vey
5,1,1,1,14,3,252,678,90,18,91.977722,Warzone
5,1,1,1,14,4,348,678,64,18,96.516922,#1311
5,1,1,1,14,5,502,640,119,66,24.620041,Hage
5,1,1,1,14,6,623,676,10,3,58.26923,~
5,1,1,1,14,7,639,647,41,59,63.412491,ty
5,1,1,1,15,1,0,737,22,28,49.640766,=
5,1,1,1,15,2,129,745,81,29,33.337479,GRAM
5,1,1,1,15,3,252,767,114,26,0.0,(Nunpi
5,1,1,1,15,4,341,741,25,59,70.217766,Ls
5,1,1,1,16,1,59,785,23,27,94.438004,8
5,1,1,1,16,2,252,791,86,45,61.044693,Warzone
5,1,1,1,16,3,349,807,67,18,96.009972,#1307
5,1,1,1,16,4,504,786,131,26,38.615974,ARLES
5,1,1,1,17,1,137,832,45,6,8.348778,ve
5,1,1,1,17,2,189,832,37,13,5.892075,ts
5,1,1,1,17,3,680,853,4,3,29.095726,.
5,1,1,1,18,1,136,891,56,38,0.0,ae
5,1,1,1,18,2,252,896,223,28,0.0,(NHifTigerThanhLA
5,1,1,1,19,1,59,915,22,26,88.229675,9
5,1,1,1,19,2,133,934,78,31,0.0,faeemeee)
5,1,1,1,19,3,252,937,90,18,87.057518,Warzone
5,1,1,1,19,4,348,936,68,19,93.914307,#1307
5,1,1,1,19,5,498,912,81,54,0.0,EERE
5,1,1,1,19,6,583,912,51,54,0.0,REID
5,1,1,1,20,1,134,1001,25,16,67.518364,xy
