level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,0,133,22,26,13.913559,a
5,1,1,1,3,2,167,143,43,31,0.0,ZEWR
5,1,1,1,3,3,252,162,94,26,8.497276,[pNDalN
5,1,1,1,3,4,354,163,87,20,56.143944,SHOHEI
5,1,1,1,3,5,648,174,28,13,62.048946,“
5,1,1,1,4,1,45,178,50,37,0.0,wy
5,1,1,1,4,2,216,207,13,21,42.201797,A)
5,1,1,1,4,3,252,201,90,19,74.356552,Warzone
5,1,1,1,4,4,348,201,68,19,93.966438,#1303
5,1,1,1,4,5,497,181,183,31,0.0,BESERBES
5,1,1,1,4,6,646,177,39,51,71.05191,tag
5,1,1,1,5,1,137,224,39,8,27.249451,we
5,1,1,1,6,1,55,288,142,19,39.264381,RE
5,1,1,1,6,2,254,284,63,42,19.321213,TOQAK
5,1,1,1,6,3,331,291,46,31,19.321213,SSS
5,1,1,1,6,4,396,298,40,19,92.785919,ant
5,1,1,1,7,1,46,303,48,43,26.818466,a
5,1,1,1,7,2,136,290,39,70,60.257473,C3
5,1,1,1,7,3,188,312,38,47,0.0,)
5,1,1,1,7,4,252,331,90,18,96.602585,Warzone
5,1,1,1,7,5,348,330,68,19,96.879173,#1301
5,1,1,1,7,6,493,306,143,53,0.0,SBUEAOS
5,1,1,1,7,7,643,300,41,59,54.700333,oY
5,1,1,1,8,1,0,395,22,23,36.775826,=
5,1,1,1,8,2,141,405,23,46,28.878593,Ra
5,1,1,1,8,3,252,421,201,27,0.0,[HYV]im2iateAgai
5,1,1,1,9,1,55,433,30,5,0.0,i
5,1,1,1,9,2,167,435,26,6,0.0,-
5,1,1,1,9,3,326,413,22,39,56.848328,m:
5,1,1,1,9,4,434,426,34,16,61.920055,ain
5,1,1,1,9,5,569,445,5,6,38.092937,oa
5,1,1,1,9,6,647,433,30,13,27.400818,et
5,1,1,1,10,1,46,432,48,44,62.513111,&
5,1,1,1,10,2,252,460,90,18,95.700394,Warzone
5,1,1,1,10,3,348,460,70,19,96.509468,#1306
5,1,1,1,10,4,501,435,124,53,29.355278,BORER
5,1,1,1,10,5,642,435,41,53,38.697197,fay
5,1,1,1,11,1,175,558,21,15,33.231117,oo
5,1,1,1,11,2,248,551,54,34,36.715622,[VIC]
5,1,1,1,11,3,526,569,98,16,22.775238,RA
5,1,1,1,12,1,55,564,27,58,36.882153,“&
5,1,1,1,12,2,124,573,112,44,0.0,aeiwoew
5,1,1,1,12,3,252,590,90,18,89.772858,Warzone
5,1,1,1,12,4,348,589,69,19,92.542267,#1309
5,1,1,1,12,5,500,569,134,25,0.0,TEVOREAEI
5,1,1,1,12,6,643,563,37,37,39.70747,Gy
5,1,1,1,13,1,134,678,65,34,2.296257,“geug
5,1,1,1,13,2,252,679,169,31,0.0,[BLUZLS
5,1,1,1,13,3,519,698,96,14,23.652802,opener
5,1,1,1,14,1,61,697,19,27,94.599297,5
5,1,1,1,14,2,124,683,96,63,26.897736,ag
5,1,1,1,14,3,216,727,20,15,51.866306,yw
5,1,1,1,14,4,252,719,90,18,85.916054,Warzone
5,1,1,1,14,5,348,719,71,18,96.608849,#1304
5,1,1,1,14,6,505,698,129,26,18.473625,AREER
5,1,1,1,15,1,0,780,22,26,56.719788,=
5,1,1,1,15,2,132,788,68,81,3.62323,-
5,1,1,1,15,3,252,809,189,26,85.040527,[GLDRJAKBARS2
5,1,1,1,16,1,195,834,10,6,0.0,.
5,1,1,1,16,2,509,828,75,17,20.152672,TREE
5,1,1,1,16,3,603,833,31,12,49.0886,ESE
5,1,1,1,17,1,59,827,22,26,93.840721,6
5,1,1,1,17,2,135,844,91,33,0.0,Emag)
5,1,1,1,17,3,252,848,90,18,90.28862,Warzone
5,1,1,1,17,4,348,848,69,18,96.448784,#1302
5,1,1,1,17,5,510,828,124,25,0.0,TREURUEE
5,1,1,1,17,6,643,833,37,26,52.165047,Yay
5,1,1,1,18,1,60,956,20,20,91.113556,7
5,1,1,1,18,2,252,938,219,31,14.418427,[shamJNomi7EDSS
5,1,1,1,18,3,507,934,66,46,12.314293,occ
5,1,1,1,18,4,593,957,42,19,0.0,oma
5,1,1,1,19,1,134,1001,25,16,67.518364,xy
5,1,1,1,19,2,169,993,37,22,96.612236,Top
5,1,1,1,19,3,214,993,12,17,96.419243,8
5,1,1,1,19,4,235,992,76,23,96.191444,Players
5,1,1,1,19,5,318,992,87,18,96.265663,Advance
5,1,1,1,19,6,412,994,20,16,97.005257,to
5,1,1,1,19,7,440,992,33,18,96.965599,the
5,1,1,1,19,8,480,992,106,18,96.513336,Semi-final
