level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,23,23,41,45,84.022453,ty
5,1,1,1,1,2,74,34,74,19,95.89164,Seeded
5,1,1,1,1,3,157,34,65,24,96.285049,Player
5,1,1,1,2,1,39,85,85,34,90.823311,Ranking
5,1,1,1,2,2,251,85,123,34,91.175133,Commander
5,1,1,1,2,3,536,89,35,19,90.328491,Kill
5,1,1,1,2,4,577,90,57,19,96.513092,Score
5,1,1,1,3,1,46,128,48,41,44.018776,3
5,1,1,1,3,2,179,128,9,5,68.717819,4
5,1,1,1,3,3,252,128,92,12,0.0,[raweegs
5,1,1,1,3,4,351,128,106,8,0.0,vr
5,1,1,1,3,5,431,111,30,35,50.652233,re
5,1,1,1,3,6,517,133,117,17,9.461258,AVAGER
5,1,1,1,3,7,643,128,37,36,10.364014,e
5,1,1,1,4,1,127,124,106,82,40.231674,ul)
5,1,1,1,4,2,252,143,85,41,96.677338,Warzone
5,1,1,1,4,3,350,143,63,41,95.642357,#1312
5,1,1,1,4,4,497,133,52,26,13.888214,RO
5,1,1,1,4,5,575,129,60,55,0.0,ARES
5,1,1,1,5,1,225,225,93,44,52.25238,To
5,1,1,1,6,1,260,245,156,25,31.75676,RiSe]gtsaurus
5,1,1,1,6,2,505,262,5,3,29.805847,ne
5,1,1,1,6,3,546,242,36,36,38.639698,TE)
5,1,1,1,6,4,606,262,23,11,15.727356,aye)
5,1,1,1,7,1,59,262,23,26,95.916374,4
5,1,1,1,7,2,125,216,36,107,30.735977,>
5,1,1,1,7,3,252,279,84,32,95.689919,Warzone
5,1,1,1,7,4,349,283,65,18,95.042793,#1316
5,1,1,1,7,5,493,258,89,53,0.0,SEOUR
5,1,1,1,7,6,585,258,45,53,0.0,SDH
5,1,1,1,7,7,647,258,36,53,62.433693,Yay
5,1,1,1,8,1,161,315,44,11,16.024857,>
5,1,1,1,8,2,226,307,10,11,31.013878,2
5,1,1,1,8,3,680,329,4,3,32.215248,.
5,1,1,1,9,1,0,345,22,26,37.804985,=
5,1,1,1,9,2,129,371,4,7,2.513565,.
5,1,1,1,9,3,231,357,3,2,0.0,S
5,1,1,1,9,4,252,374,123,25,0.0,"KORA],"
5,1,1,1,9,5,365,353,68,52,87.072449,Ankrid
5,1,1,1,9,6,443,353,22,52,60.509739,“>
5,1,1,1,10,1,310,369,17,35,66.431854,al
5,1,1,1,10,2,377,379,41,15,40.482697,nkri
5,1,1,1,10,3,503,392,48,10,12.408463,AEC
5,1,1,1,10,4,586,392,49,16,12.408463,ALAN
5,1,1,1,11,1,61,391,19,26,94.784714,5
5,1,1,1,11,2,124,351,110,106,21.023567,Ls
5,1,1,1,11,3,252,408,87,32,96.494568,Warzone
5,1,1,1,11,4,349,412,64,18,96.850624,#1312
5,1,1,1,11,5,504,392,131,25,0.0,Tepe
5,1,1,1,11,6,603,388,36,52,0.0,UE
5,1,1,1,12,1,0,476,22,24,35.479538,7
5,1,1,1,12,2,129,480,81,45,45.546608,ey
5,1,1,1,12,3,336,502,146,29,0.0,rskaEIaee
5,1,1,1,13,1,138,512,73,27,0.0,ames
5,1,1,1,13,2,252,508,82,25,15.984528,(TUG)
5,1,1,1,13,3,534,524,47,10,32.664932,Asie:
5,1,1,1,13,4,620,515,56,20,18.071892,oy
5,1,1,1,14,1,59,520,22,27,84.464233,6
5,1,1,1,14,2,252,542,90,18,96.611542,Warzone
5,1,1,1,14,3,348,542,68,18,96.623756,#1307
5,1,1,1,14,4,509,517,129,53,35.707726,al
5,1,1,1,14,5,639,523,44,47,64.084793,‘uf
5,1,1,1,15,1,0,603,22,26,49.507595,=
5,1,1,1,15,2,126,608,21,67,42.392868,K
5,1,1,1,15,3,153,607,82,30,0.0, H
5,1,1,1,15,4,252,628,82,35,55.42382,[SOF]BI
5,1,1,1,15,5,414,628,20,35,90.325615,Hi
5,1,1,1,16,1,169,628,34,35,25.297691,ald
5,1,1,1,16,2,336,638,134,15,78.247551,ossomHana
5,1,1,1,16,3,540,651,8,12,1.219269,3
5,1,1,1,16,4,606,651,28,16,0.0,-yy2
5,1,1,1,17,1,60,650,20,26,96.418579,7
5,1,1,1,17,2,126,663,33,37,36.433262,eo
5,1,1,1,17,3,197,625,41,71,49.1035,a
5,1,1,1,17,4,252,671,90,18,93.510849,Warzone
5,1,1,1,17,5,348,671,70,18,96.750023,#1306
5,1,1,1,17,6,506,651,129,25,15.586044,aA
5,1,1,1,17,7,607,647,33,55,18.431473,tS
5,1,1,1,18,1,0,731,22,28,40.30732,=
5,1,1,1,18,2,130,743,38,41,42.765903,\E.
5,1,1,1,18,3,193,742,39,65,40.202057,qT
5,1,1,1,18,4,305,760,73,29,70.1483,wa
5,1,1,1,19,1,161,773,21,21,30.206749,ne
5,1,1,1,19,2,248,763,59,39,72.79248,[vic]
5,1,1,1,19,3,517,780,118,17,2.062271,PASTAS
5,1,1,1,20,1,59,779,23,27,96.036644,8
5,1,1,1,20,2,252,791,87,39,96.455765,Warzone
5,1,1,1,20,3,352,801,65,18,96.152214,#1309
5,1,1,1,20,4,503,780,131,25,10.421127,BESS
5,1,1,1,21,1,252,891,113,32,20.588791,[TOAKIB6
